Start Signal,End Signal,Min Rise Delay,Max Rise Delay,Min Fall Delay,Max Fall Delay,Estimated Depth,Mapped Start Signal
A,Y,0.0550500043076654,0.1490878851460925,0.03138974585773,0.120207125433778,1.490878851460925,key_in[15]
A,Y,0.1323865221585534,0.3336234993808841,0.0445674794406118,0.1329041359028483,3.3362349938088407,key_in[15]
B,Y,0.1233999326538694,0.3034458048500982,0.0423929341130355,0.1301543076821107,3.0344580485009818,_1780_
A1,X,0.0736325327107794,0.2307881173714492,0.0994956506456668,0.3031039116599955,2.307881173714492,_1852_
A2,X,0.0749145766625118,0.2394932930870074,0.1149440367088592,0.3261309647982686,2.3949329308700738,_1841_
B1,X,0.0597965791030041,0.2509699741284721,0.0738870582852671,0.3021948055105699,2.509699741284721,_1864_
A1,X,0.0896110086498588,0.3049874050745409,0.1726508290757204,0.545838278914455,3.049874050745409,_1852_
A2,X,0.078600531086301,0.2539199200550582,0.1818552998551492,0.5556831818637514,2.539199200550582,_1841_
B1,X,0.0776130154335437,0.2617153234873571,0.1439211013323897,0.5686961063034135,2.617153234873571,_1864_
C1,X,0.0695834035086823,0.2345741722815272,0.1200209410272827,0.4931529768577334,2.345741722815272,_1854_
A,X,0.0876111430423597,0.2572123975500042,0.1483792020138558,0.571601671063335,2.5721239755000416,key_in[15]
B,X,0.0792354607131473,0.2188568138663306,0.1317994778398923,0.5133629222580738,2.188568138663306,_1780_
A1,X,0.104276694397448,0.3727203651212769,0.1813143853044659,0.6471806607137247,3.727203651212768,_1852_
A2,X,0.0982475587027665,0.3557420569924124,0.1952323358238227,0.705291456311779,3.557420569924124,_1841_
B1,X,0.0933838310888879,0.3321661373308173,0.1547883115494617,0.6010052625683079,3.321661373308173,_1864_
B2,X,0.093196224209102,0.3247541494309163,0.1668142893256827,0.643658811135404,3.247541494309163,_1843_
C1,X,0.0697674576746888,0.2161041823323765,0.1019639887494436,0.5303106992528976,2.1610418233237647,_1854_
A,X,0.0919293694965549,0.2684248455041351,0.3078130060188522,1.2734520465241193,2.6842484550413506,key_in[15]
B,X,0.0800395675170494,0.2157915018864355,0.2911302115119251,1.2164495310917411,2.157915018864355,_1780_
